team,rank,points
France,1,1877.32
Spain,2,1876.40
Argentina,3,1874.81
England,4,1825.97
Portugal,5,1763.83
Brazil,6,1761.16
Netherlands,7,1757.87
Morocco,8,1755.87
Belgium,9,1734.71
Germany,10,1730.37
Croatia,11,1717.07
Colombia,13,1693.09
Senegal,14,1688.99
Mexico,15,1681.03
United States,16,1673.13
Uruguay,17,1673.07
Japan,18,1660.43
Switzerland,19,1649.40
Iran,21,1615.30
Turkey,22,1599.04
Ecuador,23,1594.78
Austria,24,1593.45
South Korea,25,1588.66
Australia,27,1580.67
Algeria,28,1564.26
Egypt,29,1563.24
Canada,30,1556.48
Norway,31,1550.94
Panama,33,1540.64
Ivory Coast,34,1532.98
Sweden,38,1514.77
Paraguay,40,1503.50
Czechia,41,1501.38
Scotland,43,1498.35
Tunisia,44,1483.05
DR Congo,46,1478.35
Uzbekistan,50,1465.34
Qatar,55,1454.96
Iraq,57,1447.14
South Africa,60,1429.73
Saudi Arabia,61,1421.43
Jordan,63,1391.45
Bosnia and Herzegovina,65,1385.84
Cape Verde,69,1366.13
Ghana,74,1346.31
Curaçao,82,1294.65
Haiti,83,1291.71
New Zealand,85,1281.57
